iter	Passed	Remaining
0	323	323343
1	347	173517
2	352	117306
3	356	88716
4	360	71685
5	365	60486
6	367	52077
7	368	45738
8	370	40813
9	372	36862
10	374	33642
11	376	30968
12	378	28764
13	380	26806
14	382	25103
15	384	23619
16	385	22307
17	387	21133
18	388	20082
19	391	19185
20	393	18325
21	394	17536
22	395	16806
23	397	16145
24	398	15535
25	399	14971
26	400	14447
27	402	13957
28	403	13502
29	404	13078
30	406	12703
31	407	12332
32	431	12641
33	432	12294
34	433	11961
35	435	11650
36	437	11379
37	438	11108
38	440	10844
39	441	10590
40	442	10347
41	443	10118
42	444	9899
43	445	9689
44	447	9489
45	448	9297
46	450	9137
47	451	8961
48	453	8793
49	454	8631
50	455	8475
51	456	8324
52	457	8179
53	458	8039
54	460	7905
55	461	7775
56	462	7650
57	463	7530
58	466	7438
59	467	7328
60	469	7221
61	470	7115
62	471	7012
63	472	6912
64	511	7360
65	514	7282
66	516	7191
67	517	7098
68	519	7007
69	520	6918
70	522	6830
71	523	6745
72	525	6675
73	529	6625
74	531	6550
75	532	6472
76	533	6395
77	534	6319
78	535	6246
79	536	6174
80	538	6104
81	539	6037
82	539	5965
83	541	5903
84	543	5850
85	545	5792
86	546	5733
87	547	5673
88	548	5615
89	549	5559
90	550	5503
91	552	5449
92	553	5396
93	554	5344
94	555	5292
95	557	5252
96	559	5206
97	560	5159
98	561	5111
99	562	5066
100	564	5020
101	565	4975
102	566	4932
103	567	4889
104	568	4848
105	570	4807
106	572	4776
107	573	4739
108	575	4701
109	576	4662
110	577	4624
111	578	4587
112	579	4550
113	580	4515
114	582	4479
115	583	4444
116	584	4408
117	585	4375
118	588	4353
119	589	4325
120	591	4295
121	604	4350
122	606	4323
123	607	4293
124	609	4263
125	610	4235
126	611	4206
127	613	4177
128	614	4149
129	616	4123
130	619	4110
131	621	4084
132	622	4058
133	623	4032
134	625	4007
135	626	3982
136	628	3956
137	629	3930
138	630	3904
139	631	3882
140	634	3862
141	635	3838
142	636	3815
143	638	3792
144	639	3770
145	640	3748
146	642	3725
147	643	3703
148	644	3681
149	646	3661
150	650	3657
151	652	3637
152	653	3617
153	656	3608
154	659	3595
155	666	3604
156	667	3585
157	669	3566
158	670	3547
159	672	3529
160	673	3508
161	677	3505
162	680	3496
163	682	3479
164	684	3462
165	685	3446
166	688	3431
167	689	3415
